"language1","language2","count"
"Ada","Erlang",61
"PowerShell","Raku",61
"Elixir","VBA",61
"Elixir","Fortran",61
"Clojure","Cobol",61
"Cobol","Elixir",61
"Lisp","Raku",61
"Lua","Raku",61
"Visual Basic (.Net)","Zig",60
"Groovy","Zig",60
"Groovy","Nim",60
"GDScript","Solidity",60
"Lua","SAS",60
"Crystal","Nim",60
"Crystal","Groovy",60
"Crystal","F#",60
"PHP","Raku",60
"APL","R",60
"Apex","R",60
"Apex","Flow",60
"Ada","Clojure",60
"Crystal","Fortran",59
"Haskell","Raku",59
"Ada","Crystal",59
"Cobol","Julia",59
"Assembly","Raku",59
"Cobol","SAS",59
"Flow","Swift",59
"F#","Fortran",58
"APL","Scala",58
"Delphi","SAS",58
"Groovy","OCaml",58
"Ada","Elixir",58
"Cobol","F#",58
"VBA","Zig",58
"Apex","Fortran",58
"Nim","OCaml",58
"Apex","Lua",57
"Erlang","Solidity",57
"APL","Erlang",57
"APL","Dart",57
"Julia","SAS",57
"Apex","Objective-C",57
"Assembly","Flow",57
"MATLAB","Nim",57
"Ada","Zig",56
"Fortran","GDScript",56
"Crystal","Scala",56
"APL","Crystal",56
"APL","Zig",56
"OCaml","VBA",56
"Apex","Crystal",55
"Fortran","Zig",55
"Delphi","OCaml",55
"APL","Objective-C",55
"OCaml","Visual Basic (.Net)",55
"Apex","APL",55
"Groovy","SAS",55
"APL","F#",54
"Delphi","Flow",54
"Delphi","Zig",54
"Ada","SAS",54
"Dart","Flow",54
"Crystal","Prolog",54
"Lisp","Solidity",54
"Clojure","Nim",54
"F#","Nim",54
"APL","OCaml",54
"Ada","Flow",54
"Nim","Objective-C",53
"Flow","Haskell",53
"Haskell","SAS",53
"OCaml","Solidity",53
"Prolog","SAS",53
"Cobol","Flow",53
"Lisp","SAS",53
"Ada","Solidity",53
"R","Raku",53
"Solidity","Zig",53
"Apex","Scala",53
"Flow","Visual Basic (.Net)",53
"Julia","Raku",53
"Ada","GDScript",52
"F#","Solidity",52
"APL","MATLAB",52
"Crystal","Flow",52
"Flow","MATLAB",52
"Raku","Scala",51
"Elixir","Flow",51
"Crystal","OCaml",51
"Nim","Visual Basic (.Net)",51
"Ada","F#",51
"Erlang","Flow",51
"Nim","Scala",51
"Cobol","Zig",51
"Cobol","GDScript",51
"Flow","GDScript",51
"Flow","Groovy",51
"Flow","Lua",51
"APL","Prolog",51
"Apex","Zig",51
"Flow","Objective-C",50
"Apex","Julia",50
"Crystal","SAS",50
"Kotlin","Raku",50
"Cobol","OCaml",50
"Apex","Haskell",50
"APL","GDScript",49
"Raku","Zig",49
"Apex","Erlang",49
"Flow","Perl",49
"Apex","Elixir",49
"GDScript","Raku",49
"GDScript","SAS",49
"Apex","GDScript",49
"Nim","Prolog",49
"SAS","Solidity",49
"Apex","Clojure",49
"APL","Groovy",48
"APL","Nim",48
"Flow","Fortran",48
"Ada","Raku",48
"Apex","Solidity",48
"Apex","SAS",48
"Fortran","Nim",48
"Apex","F#",48
"Clojure","Raku",48
"Fortran","Solidity",48
"Clojure","Solidity",48
"Apex","Lisp",48
"Prolog","Raku",47
"Flow","R",47
"APL","Flow",47
"Flow","VBA",47
"Crystal","Solidity",47
"Delphi","Nim",47
"Flow","Julia",47
"Crystal","Raku",46
"Fortran","Raku",46
"Flow","Lisp",46
"Ada","Nim",46
"Erlang","Nim",46
"F#","Flow",46
"Clojure","Flow",46
"Raku","Swift",45
"Nim","VBA",45
"Cobol","Solidity",45
"APL","Solidity",44
"Flow","SAS",44
"Flow","Scala",44
"OCaml","Raku",44
"MATLAB","Raku",44
"Erlang","Raku",44
"Nim","Solidity",44
"Groovy","Raku",43
"Flow","OCaml",43
"Cobol","Nim",43
"Apex","Prolog",43
"Delphi","Raku",43
"SAS","Zig",43
"APL","Raku",43
"Elixir","Raku",42
"Dart","Raku",42
"Flow","Zig",42
"F#","Raku",42
"Flow","Prolog",41
"Erlang","SAS",41
"Cobol","Raku",41
"F#","SAS",41
"Objective-C","Raku",41
"Nim","Raku",41
"Raku","SAS",41
"Clojure","SAS",40
"Apex","OCaml",40
"Raku","Visual Basic (.Net)",40
"Raku","Solidity",40
"Flow","Raku",40
"APL","SAS",40
"OCaml","SAS",40
"Raku","VBA",39
"Apex","Raku",39
"Flow","Nim",39
"Flow","Solidity",39
"Apex","Nim",39
"Elixir","SAS",39
"Nim","SAS",38
